name,vitE,coQ10,bisbenthiamine,fursulthiamine,benfothiamine,pyridoxine,magnesium,manganese,choline,riboflavin,vitC,vitB5,vitB12,calcium,biotin,vitD3,molybdenum,betacarotene,chondroitin,selenium,royaljelly,ursodeoxycholicacid,inositol,ferrum,vitB3,folicacid,zinc,gammaoryzanol,butyrated_vitB2,pyridoxalphosphate
·¿ÀÕºñÁ¤,40,5,0,0,100,0,30,0,10,0,100,100,10.45,0,100,10,0,0,0,25,0,10,30,0,100,100,20,5,12,5
¸Þ°¡Æ®·ç°ñµåÁ¤,20,0,0,0,35,30,41.5,15.4,30,30,51.5,30,5,214.7,10,4,2.5,25,20,46.3,0,10,30,0,30,0.2,18.7,0,0,0
¸Þ°¡Æ®·çÆ÷Ä¿½ºÁ¤,0,0,0,0,50,50,165.9,0,50,30,103.1,0,10,340,10,4,0,18,0,0,10,0,0,0,0,0,18.7,0,0,0
º¥Æ÷º§Á¤,40,2,0,0,100,100,0,0,0,100,52.1,5,100,0,0,10,0,0,0,0,0,30,50,0,10,10,30,5,0,0
ºñ¸Æ½º°ñµåÁ¤,20,0,0,0,50,50,100,0,50,50,206.2,50,50,0,0,10,0,0,0,0,0,15,50,0,50,0.25,30,3,0,0
ºñ¸Æ½º¸ÞÅ¸Á¤,0,0,5,0,95,100,100,0,100,100,0,100,0.5,0,0.1,10,0,0,0,40,0,30,100,0,10,0.4,30,0,0,0
ºñ¸Æ½º¾×Æ¼ºêÁ¤,20,0,0,0,50,45,100,0,50,45,51.55,50,50,0,0,10,0,0,0,20,0,15,50,0,50,0.25,37.4,3,5,5
¾Æ·Î³ª¹Î°ñµåÁ¤,40,0,0,50,0,0,0,0,0,0,72.2,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5
¾Æ·Î³ª¹Î¾¾ÇÃ·¯½ºÁ¤,40,0,0,27.285,0,5,0,0,0,0,618.56,20,6,0,0,0,0,0,0,46.3,0,0,0,13.5,50,0.25,9.33,0,5,0
¿¢¼¼¶ó¹ÎºñÁ¤,50,0,0,50,0,50,50,0,0,50,51.6,50,50,100,0,2.5,0,0,0,46.3,0,0,50,0,50,250,18.7,0,0,0
¿¢¼¼¶ó¹Î¿¢¼ÒÁ¤,0,50,0,100,0,100,49.75,0,0,100,103.09,100,100,30,0,0,0,0,0,46.3,0,0,0,0,100,0.1,31.12,0,0,0
ÀÓÆÑÅ¸¹ÎÆÄ¿öÁ¤,0,0,0,0,50,50,0,0,50,50,30.93,50,50,0,0,0,0,0,0,0,0,0,50,0,50,0.2,18.7,0,0,0
ÀÓÆÑÅ¸¹ÎÇÁ¸®¹Ì¾öÁ¤,20,0,0,0,50,50,0,0,50,50,30.93,50,50,0,0,0,0,0,0,25,0,15,50,0,50,0.2,18.7,0,0,0
