name ºñ¸Æ½º°ñµåÁ¤ 
vitB12 50.0 
benfothiamine 50.0 
biotin 50 
choline 50.0 
inositol 50.0 
ursodeoxycholicacid 15.0 
gammaoryzanol 3.0 
L-½Ã½ºÅ×ÀÎ 25.0 
vitE 20.0 
vitD3 10.0 
riboflavin 50.0 
folicacid 0.25 
vitC 206.2 
magnesium 100.0 
zinc 30.0 
pyridoxine 50.0 
vitB3 50.0 
vitB5 50.0 
coQ10 0.0 
bisbenthiamine 0.0 
fursulthiamine 0.0 
manganese 0.0 
calcium 0.0 
molybdenum 0.0 
betacarotene 0.0 
chondroitin 0.0 
selenium 0.0 
royaljelly 0.0 
ferrum 0.0 
butyrated_vitB2 0.0 
pyridoxalphosphate 0.0 
