name ¾Æ·Î³ª¹Î¾¾ÇÃ·¯½ºÁ¤ 
vitE 40.0 
coQ10 0.0 
bisbenthiamine 0.0 
fursulthiamine 27.285 
benfothiamine 0.0 
pyridoxine 5.0 
magnesium 0.0 
manganese 0.0 
choline 0.0 
riboflavin 0.0 
vitC 618.56 
vitB5 20.0 
vitB12 6.0 
calcium 0.0 
biotin 22.5 
vitD3 0.0 
molybdenum 0.0 
betacarotene 0.0 
vitB3 50.0 
chondroitin 0.0 
selenium 46.3 
royaljelly 0.0 
ursodeoxycholicacid 0.0 
inositol 0.0 
ferrum 13.5 
vitB3 50.0 
folicacid 0.25 
zinc 9.33 
gammaoryzanol 0.0 
butyrated_vitB2 5.0 
pyridoxalphosphate 0.0 
